leader,startdate,enddate,angloedu,westedu,noedu,polity2change,BMRtransition,ethfrac,britcolony,igdp,ioil,usally,studentflowthousand
Diouf,01/01/1981,01/04/2000,0,1,0,1,0,0.7227722406387329,0,0.01411800048828125,0,0,0.09600000083446503
Djohar,18/12/1989,29/09/1995,0,0,1,11,0,NA,0,0.0210772998046875,NA,0,0.009999999776482582
Do Muoi,27/06/1991,29/12/1997,0,0,1,0,0,0.266163170337677,0,0.014336500244140625,0,0,1.2510000467300415
Doe,12/04/1980,09/09/1990,0,0,1,0,0,0.8299122452735901,0,0.018102900390625,0,1,0.7369999885559082
Dos Santos,10/09/1979,31/12/2004,0,0,0,5,0,0.7832817435264587,0,0.009510399780273437,1,0,0.027000000700354576
Duarte,01/06/1984,01/06/1989,1,1,0,2,1,0.16591870784759521,0,0.036012900390625,0,1,1.1920000314712524
Duran Ballen,10/08/1992,10/08/1996,1,1,0,0,0,0.53385329246521,0,0.045043798828124995,1,0,1.1109999418258667
Dutra,31/01/1946,31/01/1951,0,0,1,5,1,0.07058024406433105,0,0.016145400390625,0,1,0.33399999141693115
"Duvalier, Francois",15/10/1957,22/04/1971,1,1,0,-4,0,0.013591229915618896,0,0.013254300537109376,0,1,0.1080000028014183
"Duvalier, Jean-",22/04/1971,07/02/1986,0,0,1,0,0,0.013591229915618896,0,0.017570999755859375,0,1,0.5630000233650208
Echandi Jimenez,08/05/1958,08/05/1962,0,0,0,0,0,0.07109004259109497,0,0.0404477001953125,0,1,0.2290000021457672
"El-Atassi, N.",25/02/1966,13/11/1970,0,0,0,0,0,0.223094642162323,0,0.011088499755859375,0,0,0.4339999854564667
Elias Hrawi,23/11/1989,24/11/1998,0,0,1,NA,0,0.13480514287948608,0,0.03588050048828125,0,0,4.447999954223633
Emile Lahoud,24/11/1998,31/12/2004,0,0,1,NA,0,0.13480514287948608,0,0.057570600585937506,0,0,1.3209999799728394
Endara,04/01/1990,01/09/1994,1,1,0,0,1,0.26085156202316284,0,0.0597583984375,0,1,2.0409998893737793
Ershad,27/03/1982,06/12/1990,0,0,0,-1,1,0.004975080490112305,1,0.013286099853515625,0,0,1.284999966621399
Esquivel,03/07/1993,28/08/1998,1,1,0,NA,0,NA,1,0.054294301757812496,NA,0,0.24300000071525574
Esquivel,17/12/1984,07/11/1989,1,1,0,NA,0,NA,1,0.051020498046875,NA,0,0.14800000190734863
Estime,16/08/1946,10/05/1950,0,0,0,-4,0,0.013591229915618896,0,0.013254300537109376,0,1,0.04600000008940697
Eyadema,14/04/1967,31/12/2004,0,0,1,4,0,0.7106902599334717,0,0.011708100585937499,0,0,0.032999999821186066
Fahd,13/06/1982,01/01/1996,0,0,1,0,0,0.05857950448989868,0,0.30745939453125,1,0,8.175000190734863
Faisal,02/11/1964,25/03/1975,0,0,1,0,0,0.05857950448989868,0,0.069398798828125,1,0,0.2709999978542328
Faisal II,02/05/1953,14/07/1958,0,0,1,0,0,0.36247116327285767,1,0.037668701171875,1,1,0.49900001287460327
Febres Cordaro,10/08/1984,10/08/1988,1,1,0,-1,0,0.53385329246521,0,0.0468256005859375,1,1,0.9679999947547913
Fernandez Reyna,16/08/1996,16/08/2000,0,0,0,3,0,0.036988794803619385,0,0.0498456982421875,0,0,0.7599999904632568
Ferrier,25/11/1975,13/08/1980,0,0,1,0,NA,NA,0,0.0402135,NA,1,0.020999999716877937
Figueiredo,15/03/1979,21/03/1985,0,0,1,1,1,0.07058024406433105,0,0.06141490234375,0,1,2.0260000228881836
Figueres Ferrer,08/05/1970,08/05/1974,0,0,1,0,0,0.07109004259109497,0,0.0538656005859375,0,1,0.3619999885559082
Figueres Ferrer,08/11/1953,08/05/1958,0,0,1,0,0,0.07109004259109497,0,0.034306298828125,0,1,0.1469999998807907
Figueres Olsen,08/05/1994,08/05/1998,1,1,0,0,0,0.07109004259109497,0,0.0690593017578125,0,0,0.8849999904632568
