groupid,name,year,failure,allies,alliesties,size,religious,ethnic,logpop,namerica,latamerica,ssafrica,meast,asia,cinc,civilwar,decap,spline1,spline2,spline3,democracy,interact,interact_allies,lgdp,gdpb,popt,gdppercap,size1,size2,size3
434,Popular Front for the Liberation of Palestine (PFLP),1987,0,8,0.031176354736089706,1,0,1,8.345307350158691,0,0,0,1,0,0.0026020000223070383,1,0,0,0,0,1,0,0,24.435529708862305,40.9464225769043,4210.37646484375,9725122,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),1988,0,8,0.031176354736089706,1,0,1,8.36218547821045,0,0,0,1,0,0.0027056001126766205,1,0,-0.8333333134651184,-0.6666666865348816,-0.3888888955116272,1,0,0,24.636863708496094,50.07876968383789,4282.04296875,11695064,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),1989,0,8,0.031176354736089706,1,0,1,8.379158973693848,0,0,0,1,0,0.003031000029295683,1,0,-6.666666507720947,-5.333333492279053,-3.1111111640930176,1,0,0,24.632915496826172,49.88143539428711,4355.34423828125,11452926,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),1990,0,8,0.031176354736089706,1,0,1,8.406888961791992,0,0,0,1,0,0.002958300057798624,1,0,-22.5,-18,-10.5,1,0,0,24.800582885742188,58.98699951171875,4477.80810546875,13173186,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),1991,0,8,0.031176354736089706,1,0,1,8.444480895996094,0,0,0,1,0,0.0029186001047492027,1,0,-52.33333206176758,-42.66666793823242,-24.88888931274414,1,0,0,24.935840606689453,67.53022003173828,4649.341796875,14524684,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),1992,0,8,0.031176354736089706,1,0,1,8.481040000915527,0,0,0,1,0,0.0036142999306321144,1,0,-96.16666412353516,-83.33333587646484,-48.61111068725586,1,0,0,25.048402786254883,75.5759048461914,4822.462890625,15671640,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),1993,0,8,0.031176354736089706,1,0,1,8.51674747467041,0,0,0,1,0,0.0038503999821841717,1,0,-153,-144,-84,1,0,0,25.053401947021484,75.95464324951172,4997.77197265625,15197700,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),1994,0,8,0.031176354736089706,1,0,1,8.551567077636719,0,0,0,1,0,0.003491200041025877,1,0,-221.83334350585938,-227.6666717529297,-133.38888549804688,1,0,0,25.18117904663086,86.30713653564453,5174.857421875,16678167,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),1995,0,8,0.031176354736089706,1,0,1,8.585393905639648,0,0,0,1,0,0.003969199955463409,1,0,-301.6666564941406,-333.3333435058594,-199.11111450195312,1,0,0,25.331859588623047,100.34300231933594,5352.90087890625,18745536,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),1996,0,8,0.031176354736089706,1,0,1,8.615139961242676,0,0,0,1,0,0.004352400079369545,1,0,-391.5,-459,-283.5,1,0,0,25.423355102539062,109.95700073242188,5514.5205078125,19939540,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),1997,0,8,0.031176354736089706,1,0,1,8.641195297241211,0,0,0,1,0,0.0044963001273572445,0,0,-490.33331298828125,-602.66668701171875,-388.8888854980469,1,0,0,25.465803146362305,114.7249984741211,5660.09130859375,20269108,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),1998,0,4,0.02566653862595558,1,0,1,8.667116165161133,0,0,0,1,0,0.004086200147867203,0,0,-597.1666259765625,-762.33331298828125,-517.611083984375,1,0,0,25.476675033569336,115.97899627685547,5808.7236328125,19966348,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),1999,0,4,0.02566653862595558,1,0,1,8.692874908447266,0,0,0,1,0,0.003961400128901005,0,0,-711,-936,-671,1,0,0,25.487062454223633,117.19000244140625,5960.29296875,19661786,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),2000,0,5,0.02566653862595558,1,0,1,8.7184295654296875,0,0,0,1,0,0.004063299857079983,1,0,-830.8333740234375,-1121.6666259765625,-846.388916015625,1,0,0,25.608633041381836,132.33900451660156,6114.56884765625,21643226,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),2001,0,6,0.02566653862595558,1,0,1,8.740550994873047,0,0,0,1,0,0.004202200099825859,1,1,-955.666748046875,-1317.3333740234375,-1040.111083984375,1,0.02566653862595558,6,25.596216201782227,130.70599365234375,6251.33935546875,20908480,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),2002,0,6,0.02566653862595558,1,0,1,8.759282112121582,0,0,0,1,0,0.003964399918913841,1,1,-1084.5,-1521,-1248.5,1,0.02566653862595558,6,25.51962661743164,121.06900024414062,6369.537109375,19007504,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),2003,0,6,0.02566653862595558,1,0,1,8.778313636779785,0,0,0,1,0,0.0038610000628978014,1,0,-1216.333251953125,-1730.666748046875,-1467.888916015625,1,0,0,25.566389083862305,126.86499786376953,6491.92041015625,19541984,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),2004,0,6,0.02566653862595558,1,0,1,8.797507286071777,0,0,0,1,0,0.003701800014823675,1,0,-1350.166748046875,-1944.333251953125,-1694.611083984375,1,0,0,25.631832122802734,135.44500732421875,6617.7275390625,20466996,1,0,0
434,Popular Front for the Liberation of Palestine (PFLP),2005,0,6,0.02566653862595558,1,0,1,8.816247940063477,0,0,0,1,0,0.003790500108152628,1,0,-1485,-2160,-1925,1,0,0,25.682348251342773,142.46299743652344,6742.91748046875,21127798,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),1987,0,7,0.03597095608711243,1,0,1,8.345307350158691,0,0,0,1,0,0.0026020000223070383,1,0,0,0,0,1,0,0,24.435529708862305,40.9464225769043,4210.37646484375,9725122,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),1988,0,7,0.03597095608711243,1,0,1,8.36218547821045,0,0,0,1,0,0.0027056001126766205,1,0,-0.8333333134651184,-0.6666666865348816,-0.3888888955116272,1,0,0,24.636863708496094,50.07876968383789,4282.04296875,11695064,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),1989,0,7,0.03597095608711243,1,0,1,8.379158973693848,0,0,0,1,0,0.003031000029295683,1,0,-6.666666507720947,-5.333333492279053,-3.1111111640930176,1,0,0,24.632915496826172,49.88143539428711,4355.34423828125,11452926,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),1990,0,7,0.03597095608711243,1,0,1,8.406888961791992,0,0,0,1,0,0.002958300057798624,1,0,-22.5,-18,-10.5,1,0,0,24.800582885742188,58.98699951171875,4477.80810546875,13173186,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),1991,0,6,0.03597095608711243,1,0,1,8.444480895996094,0,0,0,1,0,0.0029186001047492027,1,0,-52.33333206176758,-42.66666793823242,-24.88888931274414,1,0,0,24.935840606689453,67.53022003173828,4649.341796875,14524684,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),1992,0,5,0.03597095608711243,1,0,1,8.481040000915527,0,0,0,1,0,0.0036142999306321144,1,0,-96.16666412353516,-83.33333587646484,-48.61111068725586,1,0,0,25.048402786254883,75.5759048461914,4822.462890625,15671640,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),1993,0,5,0.03597095608711243,1,0,1,8.51674747467041,0,0,0,1,0,0.0038503999821841717,1,0,-153,-144,-84,1,0,0,25.053401947021484,75.95464324951172,4997.77197265625,15197700,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),1994,0,5,0.03597095608711243,1,0,1,8.551567077636719,0,0,0,1,0,0.003491200041025877,1,0,-221.83334350585938,-227.6666717529297,-133.38888549804688,1,0,0,25.18117904663086,86.30713653564453,5174.857421875,16678167,1,0,0
435,Popular Front for the Liberation of Palestine-GC (PFLP-GC),1995,0,5,0.03597095608711243,1,0,1,8.585393905639648,0,0,0,1,0,0.003969199955463409,1,0,-301.6666564941406,-333.3333435058594,-199.11111450195312,1,0,0,25.331859588623047,100.34300231933594,5352.90087890625,18745536,1,0,0
